OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN
51-4192,"Layout Workers, Metal and Plastic",detailed,8510,47465.07
43-6012,Legal Secretaries and Administrative Assistants,detailed,308300,49403.14
25-4021,Librarians and Media Collections Specialists,detailed,250210,61209.11
43-4121,"Library Assistants, Clerical",detailed,152620,31596.48
25-1082,"Library Science Teachers, Postsecondary",detailed,7550,78708.48
25-4031,Library Technicians,detailed,141820,39128.93
29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,1888360,50508.72
19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,114170,53838.41
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,284450,26510.26
53-3033,Light Truck Drivers,detailed,2785400,36727.61
53-7033,"Loading and Moving Machine Operators, Underground Mining",detailed,7570,51769.02
43-4131,Loan Interviewers and Clerks,detailed,739420,43827.67
13-2072,Loan Officers,detailed,1056450,78789.85
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,18800,30240.77
49-9094,Locksmiths and Safe Repairers,detailed,47090,48509.62
53-4011,Locomotive Engineers,detailed,60990,69730.76
Nov-81,Lodging Managers,detailed,100410,68395.27
45-4023,Log Graders and Scalers,detailed,7510,40671.92
